"Geographic Area Name (NAME)","2012 NAICS code (NAICS2012)","Meaning of NAICS code (NAICS2012_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Paid employees for pay period including March 12 (number) (EMP)","First-quarter payroll ($1,000) (PAYQTR1)","Annual payroll ($1,000) (PAYANN)"
"United States","812112","Beauty salons","Corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"United States","812112","Beauty salons","All establishments","Establishments with 250 to 499 employees","2016","5","1,802","9,486","37,409"
"United States","812112","Beauty salons","Other noncorporate legal forms of organization","Establishments with 250 to 499 employees","2016","0","0","0","0"
"United States","812112","Beauty salons","Non-profit","Establishments with 250 to 499 employees","2016","0","0","0","0"
"United States","812112","Beauty salons","Partnerships","Establishments with 250 to 499 employees","2016","1","250 to 499 employees","D","D"
"United States","812112","Beauty salons","Individual proprietorships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"United States","812112","Beauty salons","S-corporations","Establishments with 250 to 499 employees","2016","4","1,440","8,097","31,481"
"United States","812112","Beauty salons","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"United States","812112","Beauty salons","All establishments","Establishments with 500 to 999 employees","2016","0","0","0","0"
"United States","812112","Beauty salons","Non-profit","Establishments with 500 to 999 employees","2016","0","0","0","0"
"United States","812112","Beauty salons","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"United States","812112","Beauty salons","Corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"United States","812112","Beauty salons","Other noncorporate legal forms of organization","Establishments with 500 to 999 employees","2016","0","0","0","0"
"United States","812112","Beauty salons","Partnerships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"United States","812112","Beauty salons","S-corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"United States","812112","Beauty salons","Corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"United States","812112","Beauty salons","Partnerships","Establishments with 1,000 employees or more","2016","1","1,000 to 2,499 employees","D","D"
"United States","812112","Beauty salons","Non-profit","Establishments with 1,000 employees or more","2016","0","0","0","0"
"United States","812112","Beauty salons","Other noncorporate legal forms of organization","Establishments with 1,000 employees or more","2016","0","0","0","0"
"United States","812112","Beauty salons","All establishments","Establishments with 1,000 employees or more","2016","1","1,000 to 2,499 employees","D","D"
"United States","812112","Beauty salons","Individual proprietorships","Establishments with 1,000 employees or more","2016","0","0","0","0"
