"Geographic Area Name (NAME)","2022 NAICS code (NAICS2022)","Meaning of NAICS code (NAICS2022_LABEL)","Meaning of Type of operation code (TYPOP_LABEL)","Meaning of Tax status code (TAXSTAT_LABEL)","Year (YEAR)","Number of firms (FIRM)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue ($1,000) (RCPTOT)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)","Range indicating imputed percentage of total sales, value of shipments, or revenue (RCPTOT_IMP)","Range indicating imputed percentage of total annual payroll (PAYANN_IMP)","Range indicating imputed percentage of total employees (EMP_IMP)"
"United States","812113","Nail salons","All establishments","All establishments","2022","33,066","33,212","11,366,371","3,628,302","808,910","155,052","10% to less than 20%","Less than 10%","10% to less than 20%"
"United States","812113","Nail salons","All establishments","Establishments subject to federal income tax","2022","33,066","33,212","11,366,371","3,628,302","808,910","155,052","10% to less than 20%","Less than 10%","10% to less than 20%"
