"Geographic Area Name (NAME)","2022 NAICS code (NAICS2022)","Meaning of NAICS code (NAICS2022_LABEL)","Meaning of Sex code (SEX_LABEL)","Meaning of Ethnicity code (ETH_GROUP_LABEL)","Meaning of Race code (RACE_GROUP_LABEL)","Meaning of Veteran code (VET_GROUP_LABEL)","Year (YEAR)","Number of employer firms (FIRMPDEMP)","Sales, value of shipments, or revenue of employer firms ($1,000) (RCPPDEMP)","Number of employees (EMP)","Annual payroll ($1,000) (PAYANN)","Relative standard error of employer firms (%) (FIRMPDEMP_S)","Relative standard error of sales, value of shipments, or revenue of employer firms (%) (RCPPDEMP_S)","Relative standard error of number of employees (%) (EMP_S)","Relative standard error of annual payroll (%) (PAYANN_S)"
"United States","812113","Nail salons","Total","Total","Total","Total","2022","31,246","10,926,284","148,846","3,457,821","2.0","4.9","3.0","5.3"
"United States","812113","Nail salons","Female","Total","Total","Total","2022","15,825","5,034,707","72,107","1,634,189","5.2","7.3","5.8","9.0"
"United States","812113","Nail salons","Male","Total","Total","Total","2022","10,964","4,093,650","54,617","1,257,508","5.2","9.9","8.4","9.9"
"United States","812113","Nail salons","Equally male/female","Total","Total","Total","2022","4,448","1,795,263","22,102","565,576","5.5","9.2","10.2","8.2"
"United States","812113","Nail salons","Classifiable","Classifiable","Classifiable","Classifiable","2022","31,237","10,923,621","148,826","3,457,273","2.0","4.9","3.0","5.3"
"United States","812113","Nail salons","Unclassifiable","Unclassifiable","Unclassifiable","Unclassifiable","2022","9","2,663","20","548","17.7","2.8","15.1","1.6"
