"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS Code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"United States","812113","Nail salons","All establishments","All establishments","2021","32,078","3,070,275","582,355","122,646"
"United States","812113","Nail salons","All establishments","Establishments with less than 5 employees","2021","22,125","1,062,162","181,416","38,894"
"United States","812113","Nail salons","All establishments","Establishments with 5 to 9 employees","2021","7,440","1,069,765","217,410","47,769"
"United States","812113","Nail salons","All establishments","Establishments with 10 to 19 employees","2021","2,194","713,551","140,337","27,748"
"United States","812113","Nail salons","All establishments","Establishments with 20 to 49 employees","2021","313","215,614","41,435","7,885"
"United States","812113","Nail salons","All establishments","Establishments with 50 to 99 employees","2021","6","9,183","1,757","350"
"United States","812113","Nail salons","C-corporations and other corporate legal forms of organization","All establishments","2021","5,861","509,974","99,642","23,990"
"United States","812113","Nail salons","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2021","3,782","170,250","29,274","7,077"
"United States","812113","Nail salons","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2021","1,596","190,057","40,207","10,188"
"United States","812113","Nail salons","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2021","434","116,142","23,704","5,372"
"United States","812113","Nail salons","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2021","48","32,721","6,279","1,304"
"United States","812113","Nail salons","S-corporations","All establishments","2021","14,379","1,697,624","325,011","61,394"
"United States","812113","Nail salons","S-corporations","Establishments with less than 5 employees","2021","9,353","518,750","93,045","16,764"
"United States","812113","Nail salons","S-corporations","Establishments with 5 to 9 employees","2021","3,548","582,711","117,243","23,238"
"United States","812113","Nail salons","S-corporations","Establishments with 10 to 19 employees","2021","1,272","448,244","86,394","16,197"
"United States","812113","Nail salons","S-corporations","Establishments with 20 to 49 employees","2021","202","141,414","27,195","4,954"
"United States","812113","Nail salons","S-corporations","Establishments with 50 to 99 employees","2021","4","6,505","1,134","241"
"United States","812113","Nail salons","Individual proprietorships","All establishments","2021","8,772","541,040","96,982","25,093"
"United States","812113","Nail salons","Individual proprietorships","Establishments with less than 5 employees","2021","6,933","264,886","41,961","11,564"
"United States","812113","Nail salons","Individual proprietorships","Establishments with 5 to 9 employees","2021","1,550","188,710","37,309","9,544"
"United States","812113","Nail salons","Individual proprietorships","Establishments with 10 to 19 employees","2021","257","68,784","14,081","3,161"
"United States","812113","Nail salons","Individual proprietorships","Establishments with 20 to 49 employees","2021","32","18,660","3,631","824"
"United States","812113","Nail salons","Partnerships","All establishments","2021","3,036","318,590","59,787","12,089"
"United States","812113","Nail salons","Partnerships","Establishments with less than 5 employees","2021","2,035","107,382","16,900","3,465"
"United States","812113","Nail salons","Partnerships","Establishments with 5 to 9 employees","2021","739","106,428","22,027","4,755"
"United States","812113","Nail salons","Partnerships","Establishments with 10 to 19 employees","2021","230","80,087","16,085","3,006"
"United States","812113","Nail salons","Partnerships","Establishments with 20 to 49 employees","2021","31","22,819","4,330","803"
"United States","812113","Nail salons","Non-profit","All establishments","2021","8","448","92","22"
"United States","812113","Nail salons","Non-profit","Establishments with less than 5 employees","2021","5","136","30","7"
"United States","812113","Nail salons","Non-profit","Establishments with 5 to 9 employees","2021","3","312","62","15"
"United States","812113","Nail salons","Other noncorporate legal forms of organization","All establishments","2021","22","2,599","841","58"
"United States","812113","Nail salons","Other noncorporate legal forms of organization","Establishments with less than 5 employees","2021","17","758","206","17"
"United States","812113","Nail salons","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2021","4","1,547","562","29"
