"Geographic Area Name (NAME)","2022 NAICS code (NAICS2022)","Meaning of NAICS code (NAICS2022_LABEL)","Meaning of Sex code (SEX_LABEL)","Meaning of Ethnicity code (ETH_GROUP_LABEL)","Meaning of Race code (RACE_GROUP_LABEL)","Meaning of Veteran code (VET_GROUP_LABEL)","Year (YEAR)","Number of employer firms (FIRMPDEMP)","Sales, value of shipments, or revenue of employer firms ($1,000) (RCPPDEMP)","Number of employees (EMP)","Annual payroll ($1,000) (PAYANN)","Relative standard error of employer firms (%) (FIRMPDEMP_S)","Relative standard error of sales, value of shipments, or revenue of employer firms (%) (RCPPDEMP_S)","Relative standard error of number of employees (%) (EMP_S)","Relative standard error of annual payroll (%) (PAYANN_S)"
"United States","812113","Nail salons","Total","Total","Total","Total","2022","31,246","10,926,284","148,846","3,457,821","2.0","4.9","3.0","5.3"
"United States","812113","Nail salons","Total","Total","Total","Veteran","2022","264","92,054","1,530","37,865","32.8","49.2","71.3","69.9"
"United States","812113","Nail salons","Total","Total","Total","Equally veteran/nonveteran","2022","S","S","20 to 99 employees","S","S","S","S","S"
"United States","812113","Nail salons","Total","Total","Total","Nonveteran","2022","30,918","10,813,260","147,206","3,416,574","2.1","4.7","2.9","5.0"
"United States","812113","Nail salons","Classifiable","Classifiable","Classifiable","Classifiable","2022","31,237","10,923,621","148,826","3,457,273","2.0","4.9","3.0","5.3"
"United States","812113","Nail salons","Unclassifiable","Unclassifiable","Unclassifiable","Unclassifiable","2022","9","2,663","20","548","17.7","2.8","15.1","1.6"
